draw_date,lottery_type,issue,number,detail_url,d1,d2,d3,d4,d5
2004-11-26,p3,04009,441,https://www.js-lottery.com/cms/post-3868.html,4,4,1,,
2004-11-27,p3,04010,227,https://www.js-lottery.com/cms/post-3869.html,2,2,7,,
2004-11-29,p3,04011,436,https://www.js-lottery.com/cms/post-3870.html,4,3,6,,
2004-11-29,p3,04012,430,https://www.js-lottery.com/cms/post-3871.html,4,3,0,,
2004-11-30,p3,04013,003,https://www.js-lottery.com/cms/post-3872.html,0,0,3,,
2004-12-01,p3,04014,335,https://www.js-lottery.com/cms/post-3873.html,3,3,5,,
2004-12-02,p3,04015,459,https://www.js-lottery.com/cms/post-3874.html,4,5,9,,
2004-12-03,p3,04016,444,https://www.js-lottery.com/cms/post-3875.html,4,4,4,,
2004-12-04,p3,04017,419,https://www.js-lottery.com/cms/post-3876.html,4,1,9,,
2004-12-05,p3,04018,612,https://www.js-lottery.com/cms/post-3877.html,6,1,2,,
2004-12-06,p3,04019,471,https://www.js-lottery.com/cms/post-3878.html,4,7,1,,
2004-12-07,p3,04020,810,https://www.js-lottery.com/cms/post-3879.html,8,1,0,,
2004-12-08,p3,04021,393,https://www.js-lottery.com/cms/post-3880.html,3,9,3,,
2004-12-09,p3,04022,591,https://www.js-lottery.com/cms/post-3881.html,5,9,1,,
2004-12-10,p3,04023,871,https://www.js-lottery.com/cms/post-3882.html,8,7,1,,
2004-12-11,p3,04024,886,https://www.js-lottery.com/cms/post-3883.html,8,8,6,,
2004-12-12,p3,04025,618,https://www.js-lottery.com/cms/post-3884.html,6,1,8,,
2004-12-13,p3,04026,621,https://www.js-lottery.com/cms/post-3885.html,6,2,1,,
2004-12-14,p3,04027,363,https://www.js-lottery.com/cms/post-3886.html,3,6,3,,
2004-12-15,p3,04028,075,https://www.js-lottery.com/cms/post-3887.html,0,7,5,,
2004-12-16,p3,04029,256,https://www.js-lottery.com/cms/post-3888.html,2,5,6,,
2004-12-17,p3,04030,120,https://www.js-lottery.com/cms/post-3889.html,1,2,0,,
2004-12-18,p3,04031,362,https://www.js-lottery.com/cms/post-3890.html,3,6,2,,
2004-12-19,p3,04032,378,https://www.js-lottery.com/cms/post-3891.html,3,7,8,,
2004-12-20,p3,04033,505,https://www.js-lottery.com/cms/post-3892.html,5,0,5,,
2004-12-21,p3,04034,995,https://www.js-lottery.com/cms/post-3893.html,9,9,5,,
2004-12-22,p3,04035,374,https://www.js-lottery.com/cms/post-3894.html,3,7,4,,
2004-12-23,p3,04036,009,https://www.js-lottery.com/cms/post-3895.html,0,0,9,,
2004-12-24,p3,04037,325,https://www.js-lottery.com/cms/post-3896.html,3,2,5,,
2004-12-25,p3,04038,425,https://www.js-lottery.com/cms/post-3897.html,4,2,5,,
2004-12-26,p3,04039,802,https://www.js-lottery.com/cms/post-3898.html,8,0,2,,
2004-12-27,p3,04040,566,https://www.js-lottery.com/cms/post-3899.html,5,6,6,,
2004-12-28,p3,04041,814,https://www.js-lottery.com/cms/post-3900.html,8,1,4,,
2004-12-29,p3,04042,780,https://www.js-lottery.com/cms/post-3901.html,7,8,0,,
2004-12-30,p3,04043,704,https://www.js-lottery.com/cms/post-3902.html,7,0,4,,
2004-12-31,p3,04044,382,https://www.js-lottery.com/cms/post-3903.html,3,8,2,,
2005-01-01,p3,05001,054,https://www.js-lottery.com/cms/post-3904.html,0,5,4,,
2005-01-02,p3,05002,366,https://www.js-lottery.com/cms/post-3905.html,3,6,6,,
2005-01-03,p3,05003,431,https://www.js-lottery.com/cms/post-3906.html,4,3,1,,
2005-01-04,p3,05004,674,https://www.js-lottery.com/cms/post-3907.html,6,7,4,,
2005-01-05,p3,05005,299,https://www.js-lottery.com/cms/post-3908.html,2,9,9,,
2005-01-06,p3,05006,420,https://www.js-lottery.com/cms/post-3909.html,4,2,0,,
2005-01-07,p3,05007,435,https://www.js-lottery.com/cms/post-3910.html,4,3,5,,
2005-01-08,p3,05008,281,https://www.js-lottery.com/cms/post-3911.html,2,8,1,,
2005-01-09,p3,05009,869,https://www.js-lottery.com/cms/post-3912.html,8,6,9,,
2005-01-10,p3,05010,416,https://www.js-lottery.com/cms/post-3913.html,4,1,6,,
2005-01-11,p3,05011,204,https://www.js-lottery.com/cms/post-3914.html,2,0,4,,
